train_bce_step,epoch,step,val_bce,val_mcc,train_bce_epoch,test_bce,test_mcc
0.7398583292961121,0,9,,,,,
,0,16,0.6179547309875488,0.2392120510339737,,,
,0,16,,,0.7424688339233398,,
0.6872299313545227,1,19,,,,,
0.5635928511619568,1,29,,,,,
,1,33,0.6020819544792175,0.2717953324317932,,,
,1,33,,,0.6027940511703491,,
0.5608450174331665,2,39,,,,,
0.48026108741760254,2,49,,,,,
,2,50,0.5348078012466431,0.4132360816001892,,,
,2,50,,,0.5784364342689514,,
0.4457646906375885,3,59,,,,,
,3,67,0.4955388903617859,0.46930620074272156,,,
,3,67,,,0.5172383785247803,,
0.49072080850601196,4,69,,,,,
0.4575093984603882,4,79,,,,,
,4,84,0.4779307544231415,0.5031774640083313,,,
,4,84,,,0.48719877004623413,,
0.4417113959789276,5,89,,,,,
0.4284200966358185,5,99,,,,,
,5,101,0.46625009179115295,0.5147544741630554,,,
,5,101,,,0.48889055848121643,,
0.4268091917037964,6,109,,,,,
,6,118,0.4584953486919403,0.5274096727371216,,,
,6,118,,,0.4662761092185974,,
0.44725120067596436,7,119,,,,,
0.3425944447517395,7,129,,,,,
,7,135,0.5583468675613403,0.5106925964355469,,,
,7,135,,,0.446628600358963,,
0.4426228702068329,8,139,,,,,
0.3539658784866333,8,149,,,,,
,8,152,0.4489491879940033,0.5652080774307251,,,
,8,152,,,0.4762827455997467,,
0.4089028239250183,9,159,,,,,
0.41411012411117554,9,169,,,,,
,9,169,0.4504947066307068,0.515537679195404,,,
,9,169,,,0.4514051377773285,,
0.3903081715106964,10,179,,,,,
,10,186,0.49665313959121704,0.5415202975273132,,,
,10,186,,,0.4220002591609955,,
0.4041052460670471,11,189,,,,,
0.34575220942497253,11,199,,,,,
,11,203,0.42791521549224854,0.5600986480712891,,,
,11,203,,,0.415225625038147,,
0.4089089632034302,12,209,,,,,
0.3972642123699188,12,219,,,,,
,12,220,0.5004891157150269,0.5376415848731995,,,
,12,220,,,0.42457395792007446,,
0.33691200613975525,13,229,,,,,
,13,237,0.4604368209838867,0.572539210319519,,,
,13,237,,,0.42668166756629944,,
0.3485128879547119,14,239,,,,,
0.42976364493370056,14,249,,,,,
,14,254,0.4446921646595001,0.5884279608726501,,,
,14,254,,,0.4090176820755005,,
0.34136635065078735,15,259,,,,,
0.4689534902572632,15,269,,,,,
,15,271,0.4695925712585449,0.5086449980735779,,,
,15,271,,,0.4307352900505066,,
0.4417361617088318,16,279,,,,,
,16,288,0.4470035135746002,0.5862039923667908,,,
,16,288,,,0.41708752512931824,,
0.44695138931274414,17,289,,,,,
0.3334774971008301,17,299,,,,,
,17,305,0.4226329028606415,0.5989424586296082,,,
,17,305,,,0.3862895369529724,,
0.2558102011680603,18,309,,,,,
0.3957642912864685,18,319,,,,,
,18,322,0.44816485047340393,0.5519343614578247,,,
,18,322,,,0.40023910999298096,,
0.4399685859680176,19,329,,,,,
0.4332984387874603,19,339,,,,,
,19,339,0.4291043281555176,0.5863677859306335,,,
,19,339,,,0.39109963178634644,,
0.3083033561706543,20,349,,,,,
,20,356,0.431714802980423,0.5862271785736084,,,
,20,356,,,0.37888064980506897,,
0.5329416394233704,21,359,,,,,
0.3231910467147827,21,369,,,,,
,21,373,0.4441903829574585,0.5534571409225464,,,
,21,373,,,0.384705513715744,,
0.3504332900047302,22,379,,,,,
0.6675239205360413,22,389,,,,,
,22,390,0.44262176752090454,0.6093504428863525,,,
,22,390,,,0.39380112290382385,,
0.30085283517837524,23,399,,,,,
,23,407,0.4209740161895752,0.5871202945709229,,,
,23,407,,,0.37678220868110657,,
0.3653378486633301,24,409,,,,,
0.43746820092201233,24,419,,,,,
,24,424,0.49297407269477844,0.5651899576187134,,,
,24,424,,,0.3623594343662262,,
0.31801536679267883,25,429,,,,,
0.34886741638183594,25,439,,,,,
,25,441,0.43097051978111267,0.6114271283149719,,,
,25,441,,,0.3777885437011719,,
0.354072630405426,26,449,,,,,
,26,458,0.42245206236839294,0.6158963441848755,,,
,26,458,,,0.3571043312549591,,
0.2375393509864807,27,459,,,,,
0.31370291113853455,27,469,,,,,
,27,475,0.42501911520957947,0.5552347898483276,,,
,27,475,,,0.3448990285396576,,
0.2431449294090271,28,479,,,,,
0.4535766541957855,28,489,,,,,
,28,492,0.4968164265155792,0.5622557401657104,,,
,28,492,,,0.3744931221008301,,
0.2808319628238678,29,499,,,,,
0.45071133971214294,29,509,,,,,
,29,509,0.42005589604377747,0.5887625813484192,,,
,29,509,,,0.36341390013694763,,
0.3803931176662445,30,519,,,,,
,30,526,0.42848774790763855,0.589145839214325,,,
,30,526,,,0.35500672459602356,,
0.392844557762146,31,529,,,,,
0.26205798983573914,31,539,,,,,
,31,543,0.43283116817474365,0.6034786701202393,,,
,31,543,,,0.33750325441360474,,
0.33627253770828247,32,549,,,,,
0.37250351905822754,32,559,,,,,
,32,560,0.43892741203308105,0.5960613489151001,,,
,32,560,,,0.34550121426582336,,
0.43941226601600647,33,569,,,,,
,33,577,0.4500674903392792,0.5739811062812805,,,
,33,577,,,0.3463216722011566,,
0.3625357151031494,34,579,,,,,
0.2925246059894562,34,589,,,,,
,34,594,0.43809977173805237,0.584378719329834,,,
,34,594,,,0.33121925592422485,,
0.5306379795074463,35,599,,,,,
0.33001983165740967,35,609,,,,,
,35,611,0.4162423610687256,0.5787354111671448,,,
,35,611,,,0.35437217354774475,,
0.44439512491226196,36,619,,,,,
,36,628,0.4161020815372467,0.5918866395950317,,,
,36,628,,,0.3758878707885742,,
0.4217725396156311,37,629,,,,,
0.33478155732154846,37,639,,,,,
,37,645,0.4363585412502289,0.5851373672485352,,,
,37,645,,,0.33106034994125366,,
0.29835206270217896,38,649,,,,,
0.43528568744659424,38,659,,,,,
,38,662,0.45046329498291016,0.6086573004722595,,,
,38,662,,,0.3375411629676819,,
0.32455143332481384,39,669,,,,,
0.3162930905818939,39,679,,,,,
,39,679,0.4148423969745636,0.5931040644645691,,,
,39,679,,,0.36714935302734375,,
0.4135746955871582,40,689,,,,,
,40,696,0.4218299388885498,0.5853263139724731,,,
,40,696,,,0.3350440263748169,,
0.31294703483581543,41,699,,,,,
0.3644121587276459,41,709,,,,,
,41,713,0.48283451795578003,0.5868344306945801,,,
,41,713,,,0.31327173113822937,,
0.41005390882492065,42,719,,,,,
0.2931478023529053,42,729,,,,,
,42,730,0.4399331212043762,0.5788873434066772,,,
,42,730,,,0.33661720156669617,,
0.2503015398979187,43,739,,,,,
,43,747,0.4355211853981018,0.6025553941726685,,,
,43,747,,,0.31210678815841675,,
0.33214831352233887,44,749,,,,,
0.294500470161438,44,759,,,,,
,44,764,0.45024216175079346,0.5901177525520325,,,
,44,764,,,0.30678120255470276,,
0.2544252574443817,45,769,,,,,
0.34654727578163147,45,779,,,,,
,45,781,0.42480596899986267,0.5862886905670166,,,
,45,781,,,0.32807472348213196,,
0.22473374009132385,46,789,,,,,
,46,798,0.5582908987998962,0.5817787051200867,,,
,46,798,,,0.3167150914669037,,
0.530888020992279,47,799,,,,,
0.41829150915145874,47,809,,,,,
,47,815,0.4223337471485138,0.5955556631088257,,,
,47,815,,,0.41481640934944153,,
0.3902723789215088,48,819,,,,,
0.24081602692604065,48,829,,,,,
,48,832,0.464534729719162,0.5645214319229126,,,
,48,832,,,0.33322039246559143,,
0.38182157278060913,49,839,,,,,
0.15564508736133575,49,849,,,,,
,49,849,0.4538743793964386,0.5717620253562927,,,
,49,849,,,0.3092050552368164,,
0.3695848286151886,50,859,,,,,
,50,866,0.4356284737586975,0.5691213011741638,,,
,50,866,,,0.3104822337627411,,
0.3679443597793579,51,869,,,,,
0.37879297137260437,51,879,,,,,
,51,883,0.49942997097969055,0.5223052501678467,,,
,51,883,,,0.31892359256744385,,
0.22673098742961884,52,889,,,,,
0.3119143843650818,52,899,,,,,
,52,900,0.48357048630714417,0.5390383005142212,,,
,52,900,,,0.3047749996185303,,
0.27084144949913025,53,909,,,,,
,53,917,0.5055355429649353,0.5364245772361755,,,
,53,917,,,0.28473395109176636,,
0.3096749484539032,54,919,,,,,
0.26724904775619507,54,929,,,,,
,54,934,0.43462586402893066,0.5961461663246155,,,
,54,934,,,0.2975893020629883,,
0.3642575442790985,55,939,,,,,
0.32202497124671936,55,949,,,,,
,55,951,0.4791392385959625,0.595733106136322,,,
,55,951,,,0.28168022632598877,,
0.25126197934150696,56,959,,,,,
,56,968,0.47671812772750854,0.57028728723526,,,
,56,968,,,0.29500362277030945,,
0.2818785011768341,57,969,,,,,
0.22147667407989502,57,979,,,,,
,57,985,0.44980931282043457,0.5763875842094421,,,
,57,985,,,0.32608762383461,,
0.23936772346496582,58,989,,,,,
0.38830044865608215,58,999,,,,,
,58,1002,0.5501164197921753,0.5342006087303162,,,
,58,1002,,,0.30834347009658813,,
0.33063873648643494,59,1009,,,,,
0.3081204891204834,59,1019,,,,,
,59,1019,0.4740639925003052,0.5680837631225586,,,
,59,1019,,,0.302476167678833,,
,39,1020,,,,0.3633427619934082,0.6614466309547424
